cduid,csdname,csduid,pop
3520,"Toronto (C), Ontario",3520005,2965713
3506,"Ottawa (CV), Ontario",3506008,1028514
3521,"Mississauga (CY), Ontario",3521005,769050
3521,"Brampton (CY), Ontario",3521010,696975
3525,"Hamilton (C), Ontario",3525005,574263
3539,"London (CY), Ontario",3539036,426139
3519,"Markham (CY), Ontario",3519036,343698
3519,"Vaughan (CY), Ontario",3519028,325678
3530,"Kitchener (CY), Ontario",3530013,263790
3537,"Windsor (CY), Ontario",3537039,234048
3519,"Richmond Hill (T), Ontario",3519038,203996
3524,"Oakville (T), Ontario",3524001,212551
3524,"Burlington (CY), Ontario",3524002,190194
3553,"Greater Sudbury / Grand Sudbury (CV), Ontario",3553005,168813
3518,"Oshawa (CY), Ontario",3518013,175220
3543,"Barrie (CY), Ontario",3543042,149302
3526,"St. Catharines (CY), Ontario",3526053,141294
3523,"Guelph (CY), Ontario",3523008,143169
3530,"Cambridge (CY), Ontario",3530010,139996
3518,"Whitby (T), Ontario",3518009,136594
3510,"Kingston (CY), Ontario",3510010,135204
3518,"Ajax (T), Ontario",3518005,129490
3524,"Milton (T), Ontario",3524009,129334
3558,"Thunder Bay (CY), Ontario",3558004,112740
3530,"Waterloo (CY), Ontario",3530016,119869
3536,"Chatham-Kent (MU), Ontario",3536020,105666
3529,"Brantford (CY), Ontario",3529006,104902
3518,"Clarington (MU), Ontario",3518017,100562
3518,"Pickering (CY), Ontario",3518001,98817
3526,"Niagara Falls (CY), Ontario",3526043,95570
3519,"Newmarket (T), Ontario",3519048,89496
3515,"Peterborough (CY), Ontario",3515014,86469
3516,"Kawartha Lakes (CY), Ontario",3516010,80516
3557,"Sault Ste. Marie (CY), Ontario",3557061,74989
3538,"Sarnia (CY), Ontario",3538030,74779
3521,"Caledon (T), Ontario",3521024,75969
3528,"Norfolk County (CY), Ontario",3528052,69027
3524,"Halton Hills (T), Ontario",3524015,64290
3519,"Aurora (T), Ontario",3519046,62400
3526,"Welland (CY), Ontario",3526032,55666
3548,"North Bay (CY), Ontario",3548044,53816
3512,"Belleville (CY), Ontario",3512005,54633
3501,"Cornwall (CY), Ontario",3501012,48560
3519,"Whitchurch-Stouffville (T), Ontario",3519044,49735
3528,"Haldimand County (CY), Ontario",3528018,50119
3519,"Georgina (T), Ontario",3519070,47585
3512,"Quinte West (CY), Ontario",3512015,46824
3556,"Timmins (CY), Ontario",3556027,42561
3532,"Woodstock (CY), Ontario",3532042,45437
3534,"St. Thomas (CY), Ontario",3534021,41795
3537,"Lakeshore (T), Ontario",3537064,40132
3543,"Innisfil (T), Ontario",3543017,40743
3529,"Brant (CY), Ontario",3529005,38419
3543,"Bradford West Gwillimbury (T), Ontario",3543014,42968
3543,"New Tecumseth (T), Ontario",3543007,41439
3531,"Stratford (CY), Ontario",3531011,33434
3543,"Orillia (CY), Ontario",3543052,33460
3526,"Fort Erie (T), Ontario",3526003,32834
3537,"LaSalle (T), Ontario",3537034,32832
3522,"Orangeville (T), Ontario",3522014,30295
3523,"Centre Wellington (TP), Ontario",3523025,31008
3537,"Leamington (MU), Ontario",3537003,29523
3526,"Grimsby (T), Ontario",3526065,29331
3530,"Woolwich (TP), Ontario",3530035,26751
3519,"King (TP), Ontario",3519049,26593
3513,"Prince Edward County (CY), Ontario",3513020,25406
3502,"Clarence-Rockland (C), Ontario",3502036,26071
3519,"East Gwillimbury (T), Ontario",3519054,32040
3526,"Lincoln (T), Ontario",3526057,24431
3537,"Tecumseh (T), Ontario",3537048,24064
3537,"Amherstburg (T), Ontario",3537028,23239
3543,"Collingwood (T), Ontario",3543031,23981
3537,"Kingsville (T), Ontario",3537013,23025
3518,"Scugog (TP), Ontario",3518020,21743
3542,"Owen Sound (CY), Ontario",3542059,21730
3507,"Brockville (CY), Ontario",3507015,22016
3543,"Essa (TP), Ontario",3543021,23916
3543,"Oro-Medonte (TP), Ontario",3543023,23304
3518,"Uxbridge (TP), Ontario",3518029,22126
3539,"Strathroy-Caradoc (MU), Ontario",3539015,23049
3543,"Wasaga Beach (T), Ontario",3543064,22993
3530,"Wilmot (TP), Ontario",3530020,21978
3537,"Essex (T), Ontario",3537016,21441
3544,"Huntsville (T), Ontario",3544042,21536
3514,"Cobourg (T), Ontario",3514021,20170
3543,"Springwater (TP), Ontario",3543009,21007
3526,"Thorold (CY), Ontario",3526037,21663
3510,"South Frontenac (TP), Ontario",3510020,20237
3526,"Port Colborne (CY), Ontario",3526011,18975
3526,"Niagara-on-the-Lake (T), Ontario",3526047,18865
3547,"Petawawa (T), Ontario",3547076,18434
3539,"Middlesex Centre (MU), Ontario",3539033,18662
3526,"Pelham (T), Ontario",3526028,18007
3511,"Loyalist (TP), Ontario",3511005,17755
3515,"Selwyn (TP), Ontario",3515015,18124
3543,"Midland (T), Ontario",3543074,17936
3514,"Port Hope (MU), Ontario",3514020,17613
3502,"Russell (TP), Ontario",3502048,18578
3507,"North Grenville (MU), Ontario",3507065,17953
3544,"Bracebridge (T), Ontario",3544018,17451
3532,"Tillsonburg (T), Ontario",3532004,17230
3511,"Greater Napanee (T), Ontario",3511015,16587
3560,"Kenora (CY), Ontario",3560010,15483
3526,"West Lincoln (TP), Ontario",3526021,15815
3548,"West Nipissing / Nipissing Ouest (M), Ontario",3548055,15014
3543,"Clearview (TP), Ontario",3543005,14787
3538,"St. Clair (TP), Ontario",3538003,14755
3547,"Pembroke (CY), Ontario",3547064,14206
3541,"Saugeen Shores (T), Ontario",3541045,15125
3543,"Severn (TP), Ontario",3543015,14971
3539,"Thames Centre (MU), Ontario",3539027,14262
3531,"North Perth (MU), Ontario",3531040,14799
3509,"Mississippi Mills (T), Ontario",3509030,14476
3501,"South Stormont (TP), Ontario",3501011,13839
3501,"South Glengarry (TP), Ontario",3501005,13730
3502,"The Nation / La Nation (M), Ontario",3502025,13687
3514,"Trent Hills (MU), Ontario",3514045,13680
3532,"Ingersoll (T), Ontario",3532018,13942
3523,"Guelph/Eramosa (TP), Ontario",3523009,14323
3534,"Central Elgin (MU), Ontario",3534020,13182
3542,"West Grey (MU), Ontario",3542004,13348
3544,"Gravenhurst (T), Ontario",3544002,13246
3531,"Perth East (TP), Ontario",3531030,13031
3523,"Wellington North (TP), Ontario",3523050,12374
3514,"Brighton (MU), Ontario",3514004,12796
3543,"Tiny (TP), Ontario",3543068,13094
3518,"Brock (TP), Ontario",3518039,12661
3523,"Erin (T), Ontario",3523017,11948
3541,"Kincardine (MU), Ontario",3541024,12285
3530,"Wellesley (TP), Ontario",3530027,11753
3501,"North Dundas (TP), Ontario",3501030,11626
3532,"Norwich (TP), Ontario",3532002,11666
3542,"Meaford (MU), Ontario",3542047,11694
3543,"Adjala-Tosorontio (TP), Ontario",3543003,11652
3514,"Hamilton (TP), Ontario",3514019,11332
3501,"South Dundas (MU), Ontario",3501020,11206
3509,"Carleton Place (T), Ontario",3509028,11426
3557,"Elliot Lake (CY), Ontario",3557041,11384
3523,"Mapleton (TP), Ontario",3523033,11302
3538,"Lambton Shores (MU), Ontario",3538040,11050
3542,"Georgian Bluffs (TP), Ontario",3542053,11280
3530,"North Dumfries (TP), Ontario",3530004,11328
3507,"Rideau Lakes (TP), Ontario",3507040,10861
3502,"Hawkesbury (T), Ontario",3502008,10525
3501,"North Glengarry (TP), Ontario",3501050,10277
3540,"South Huron (MU), Ontario",3540005,10797
3543,"Tay (TP), Ontario",3543071,11070
3554,"Temiskaming Shores (CY), Ontario",3554020,10335
3507,"Elizabethtown-Kitley (TP), Ontario",3507014,9884
3542,"Grey Highlands (MU), Ontario",3542015,10458
3502,"Alfred and Plantagenet (TP), Ontario",3502023,10182
3543,"Ramara (TP), Ontario",3543019,10380
3547,"Laurentian Valley (TP), Ontario",3547075,9812
3541,"Brockton (MU), Ontario",3541032,10073
3507,"Leeds and the Thousand Islands (TP), Ontario",3507021,9679
3534,"Malahide (TP), Ontario",3534010,10041
3540,"Huron East (MU), Ontario",3540040,9547
3543,"Penetanguishene (T), Ontario",3543072,9692
3531,"West Perth (MU), Ontario",3531025,9352
3515,"Cavan Monaghan (TP), Ontario",3515013,9562
3547,"Arnprior (T), Ontario",3547002,9659
3509,"Smiths Falls (T), Ontario",3509004,8898
3502,"Champlain (TP), Ontario",3502010,8878
3523,"Minto (T), Ontario",3523043,9422
3522,"Mono (T), Ontario",3522012,10353
3541,"South Bruce Peninsula (T), Ontario",3541055,8870
3556,"Kapuskasing (T), Ontario",3556066,8330
3522,"Shelburne (T), Ontario",3522021,9479
3547,"Renfrew (T), Ontario",3547048,8345
3532,"Zorra (TP), Ontario",3532027,8563
3554,"Kirkland Lake (T), Ontario",3554068,8208
3559,"Fort Frances (T), Ontario",3559012,7861
3560,"Dryden (CY), Ontario",3560027,7801
3509,"Drummond/North Elmsley (TP), Ontario",3509010,7963
3538,"Plympton-Wyoming (T), Ontario",3538035,8393
3511,"Stone Mills (TP), Ontario",3511030,7991
3542,"Hanover (T), Ontario",3542029,8137
3509,"Beckwith (TP), Ontario",3509024,8488
3532,"South-West Oxford (TP), Ontario",3532012,7985
3540,"Goderich (T), Ontario",3540028,8115
3540,"Central Huron (MU), Ontario",3540025,8267
3534,"Aylmer (T), Ontario",3534011,7971
3532,"Blandford-Blenheim (TP), Ontario",3532045,7949
3534,"Bayham (MU), Ontario",3534005,8040
3542,"Southgate (TP), Ontario",3542005,8065
3507,"Augusta (TP), Ontario",3507006,7429
3523,"Puslinch (TP), Ontario",3523001,7573
3531,"St. Marys (T), Ontario",3531016,7685
3547,"McNab/Braeside (TP), Ontario",3547003,7388
3532,"East Zorra-Tavistock (TP), Ontario",3532038,7707
3540,"Bluewater (MU), Ontario",3540010,7510
3507,"Edwardsburgh/Cardinal (TP), Ontario",3507004,7624
3541,"Huron-Kinloss (TP), Ontario",3541015,7756
3542,"The Blue Mountains (T), Ontario",3542045,8384
3547,"Whitewater Region (TP), Ontario",3547056,7364
3501,"North Stormont (TP), Ontario",3501042,7107
3514,"Alnwick/Haldimand (TP), Ontario",3514024,7426
3541,"Arran-Elderslie (MU), Ontario",3541043,7173
3560,"Kenora, Unorganized (NO), Ontario",3560090,7243
3515,"Douro-Dummer (TP), Ontario",3515023,7247
3542,"Chatsworth (TP), Ontario",3542037,7207
3515,"Otonabee-South Monaghan (TP), Ontario",3515005,7035
3544,"Muskoka Lakes (TP), Ontario",3544053,7176
3549,"Parry Sound (T), Ontario",3549032,6713
3526,"Wainfleet (TP), Ontario",3526014,6732
3514,"Cramahe (TP), Ontario",3514014,6537
3539,"North Middlesex (MU), Ontario",3539041,6519
3546,"Dysart et al (MU), Ontario",3546024,6722
3546,"Minden Hills (TP), Ontario",3546015,6599
3512,"Tweed (MU), Ontario",3512030,6215
3558,"Oliver Paipoonge (MU), Ontario",3558011,6160
3509,"Perth (T), Ontario",3509021,6240
3558,"Thunder Bay, Unorganized (NO), Ontario",3558090,6118
3538,"Petrolia (T), Ontario",3538019,6010
3557,"Algoma, Unorganized, North Part (NO), Ontario",3557095,5803
3539,"Southwest Middlesex (MU), Ontario",3539005,6161
3541,"South Bruce (MU), Ontario",3541004,5930
3509,"Tay Valley (TP), Ontario",3509015,5862
3529,"Six Nations (Part) 40 (IRI), Ontario",3529020,5930
3540,"Ashfield-Colborne-Wawanosh (TP), Ontario",3540063,5568
3515,"Trent Lakes (MU), Ontario",3515044,5736
3509,"Lanark Highlands (TP), Ontario",3509039,5526
3556,"Cochrane (T), Ontario",3556042,5412
3560,"Sioux Lookout (MU), Ontario",3560034,5529
3507,"Gananoque (T), Ontario",3507024,5496
3552,"Espanola (T), Ontario",3552026,5175
3556,"Hearst (T), Ontario",3556076,5094
3534,"West Elgin (MU), Ontario",3534042,5129
3540,"North Huron (TP), Ontario",3540055,5028
3512,"Stirling-Rawdon (TP), Ontario",3512020,5202
3548,"East Ferris (MU), Ontario",3548034,5303
3512,"Centre Hastings (MU), Ontario",3512026,4859
3539,"Lucan Biddulph (TP), Ontario",3539060,5428
3558,"Greenstone (MU), Ontario",3558075,4514
3556,"Iroquois Falls (T), Ontario",3556031,4495
3515,"Havelock-Belmont-Methuen (TP), Ontario",3515030,4849
3534,"Southwold (TP), Ontario",3534024,4715
3510,"Central Frontenac (TP), Ontario",3510035,4560
3512,"Tyendinaga (TP), Ontario",3512001,4338
3549,"Seguin (TP), Ontario",3549003,4592
